,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent,Equivalent,Equivalent,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
2000000,http://purl.org/pan-science/PaNET/PaNET2000000,photon and neutron specifiers,,,,,,,,,,,,,,,,,,,,,,
2001000,http://purl.org/pan-science/PaNET/PaNET2001000,probe,,,Types of experimental probes,,owl:Class,photon and neutron specifiers,,,,,,,,,,,,,,,,
2002000,http://purl.org/pan-science/PaNET/PaNET2002000,purpose,,,Types of purposes,,owl:Class,photon and neutron specifiers,,,,,,,,,,,,,,,,
2003000,http://purl.org/pan-science/PaNET/PaNET2003000,process,,,Types of experimental physical processes,,owl:Class,photon and neutron specifiers,,,,,,,,,,,,,,,,
2004000,http://purl.org/pan-science/PaNET/PaNET2004000,functional dependence,,,Types of functional dependences,,owl:Class,photon and neutron specifiers,,,,,,,,,,,,,,,,
2005000,http://purl.org/pan-science/PaNET/PaNET2005000,beam characteristic,,,Types of beam characteristics,,owl:Class,photon and neutron specifiers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2011000,http://purl.org/pan-science/PaNET/PaNET2011000,photon,,,Photon probes,,owl:Class,probe,,,,,,,,,,,,,,,,
2011001,http://purl.org/pan-science/PaNET/PaNET2011001,neutron,,,Neutron probes,,owl:Class,probe,,,,,,,,,,,,,,,,
2011002,http://purl.org/pan-science/PaNET/PaNET2011002,muon,,,Muon probes,,owl:Class,probe,,,,,,,,,,,,,,,,
2011003,http://purl.org/pan-science/PaNET/PaNET2011003,solid probe,,,Solid probes,,owl:Class,probe,,,,,,,,,,,,,,,,
2011007,http://purl.org/pan-science/PaNET/PaNET2011007,positron,,,Positron probes,,owl:Class,probe,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2011004,http://purl.org/pan-science/PaNET/PaNET2011004,scanning probe,,,Scanning probes,,owl:Class,beam characteristic,,,,,,,,,,,,,,,,
2011005,http://purl.org/pan-science/PaNET/PaNET2011005,pulsed probe,,,Pulsed probes,,owl:Class,beam characteristic,,,,,,,,,,,,,,,,
2011006,http://purl.org/pan-science/PaNET/PaNET2011006,microfocused probe,,,using a beam with dimensions in the micrometre range;may or may not result in a map (2D); see obtain high resolution map,,owl:Class,beam characteristic,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2012000,http://purl.org/pan-science/PaNET/PaNET2012000,scattering,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012001,http://purl.org/pan-science/PaNET/PaNET2012001,emission,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012002,http://purl.org/pan-science/PaNET/PaNET2012002,absorption,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012003,http://purl.org/pan-science/PaNET/PaNET2012003,propagation,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012004,http://purl.org/pan-science/PaNET/PaNET2012004,refraction,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012005,http://purl.org/pan-science/PaNET/PaNET2012005,reflection,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012006,http://purl.org/pan-science/PaNET/PaNET2012006,resonance phenomenon,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012007,http://purl.org/pan-science/PaNET/PaNET2012007,dispersion,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012008,http://purl.org/pan-science/PaNET/PaNET2012008,interferometry,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012009,http://purl.org/pan-science/PaNET/PaNET2012009,force measurement,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2012010,http://purl.org/pan-science/PaNET/PaNET2012010,nonlinear interaction,,,,,owl:Class,process,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2013000,http://purl.org/pan-science/PaNET/PaNET2013000,energy,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013001,http://purl.org/pan-science/PaNET/PaNET2013001,momentum transfer,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013002,http://purl.org/pan-science/PaNET/PaNET2013002,polarization,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013003,http://purl.org/pan-science/PaNET/PaNET2013003,position,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013004,http://purl.org/pan-science/PaNET/PaNET2013004,time,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013005,http://purl.org/pan-science/PaNET/PaNET2013005,emission mass,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
2013006,http://purl.org/pan-science/PaNET/PaNET2013006,sample state,,,,,owl:Class,functional dependence,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2014000,http://purl.org/pan-science/PaNET/PaNET2014000,obtain atomic structure,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014001,http://purl.org/pan-science/PaNET/PaNET2014001,obtain spatial map,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014002,http://purl.org/pan-science/PaNET/PaNET2014002,obtain electronic ground state properties,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014003,http://purl.org/pan-science/PaNET/PaNET2014003,obtain dynamics,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014004,http://purl.org/pan-science/PaNET/PaNET2014004,therapy,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014005,http://purl.org/pan-science/PaNET/PaNET2014005,drug fragment binding,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014006,http://purl.org/pan-science/PaNET/PaNET2014006,obtain internal field,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014007,http://purl.org/pan-science/PaNET/PaNET2014007,characterize excitations,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014008,http://purl.org/pan-science/PaNET/PaNET2014008,manufacturing,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014009,http://purl.org/pan-science/PaNET/PaNET2014009,testing,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014010,http://purl.org/pan-science/PaNET/PaNET2014010,medical application,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014011,http://purl.org/pan-science/PaNET/PaNET2014011,chiral determination,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
2014012,http://purl.org/pan-science/PaNET/PaNET2014012,magnetism study,,,,,owl:Class,purpose,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2020000,http://purl.org/pan-science/PaNET/PaNET2020000,ultrafast probe,,,,,owl:Class,PaNET:PaNET2011005,,,,,,,,,,,,,,,,
2020001,http://purl.org/pan-science/PaNET/PaNET2020001,nanofocused probe,,,using a beam with dimensions in the nanometre range;may or may not result in a map (2D); see obtain ultra high resolution map,,owl:Class,PaNET:PaNET2011006,,,,,,,,,,,,,,,,
2020002,http://purl.org/pan-science/PaNET/PaNET2020002,IR photon,infrared photon,,,,owl:Class,photon,,,,,,,,,,,,,,,,
2020003,http://purl.org/pan-science/PaNET/PaNET2020003,THz photon,,,,,owl:Class,IR photon,,,,,,,,,,,,,,,,
2020004,http://purl.org/pan-science/PaNET/PaNET2020004,UV visible photon,ultra violet and visible photon,UV vis photon,,,owl:Class,photon,,,,,,,,,,,,,,,,
2020005,http://purl.org/pan-science/PaNET/PaNET2020005,visible photon,,,,,owl:Class,UV visible photon,,,,,,,,,,,,,,,,
2020006,http://purl.org/pan-science/PaNET/PaNET2020006,UV photon,ultra violet photon,,,,owl:Class,UV visible photon,,,,,,,,,,,,,,,,
2020007,http://purl.org/pan-science/PaNET/PaNET2020007,VUV photon,vacuum ultra violet photon,,,,owl:Class,UV photon,,,,,,,,,,,,,,,,
2020008,http://purl.org/pan-science/PaNET/PaNET2020008,EUV photon,extreme ultra violet photon,,,,owl:Class,VUV photon,,,,,,,,,,,,,,,,
2020009,http://purl.org/pan-science/PaNET/PaNET2020009,x-ray,Röntgen radiation,,,,owl:Class,photon,,,,,,,,,,,,,,,,
2020010,http://purl.org/pan-science/PaNET/PaNET2020010,hard x-ray,,,,,owl:Class,x-ray,,,,,,,,,,,,,,,,
2020011,http://purl.org/pan-science/PaNET/PaNET2020011,tender x-ray,,,,,owl:Class,x-ray,,,,,,,,,,,,,,,,
2020012,http://purl.org/pan-science/PaNET/PaNET2020012,soft x-ray,,,,,owl:Class,x-ray,,,,,,,,,,,,,,,,
2020013,http://purl.org/pan-science/PaNET/PaNET2020013,thermal neutron beam,,,,,owl:Class,neutron,,,,,,,,,,,,,,,,
2020014,http://purl.org/pan-science/PaNET/PaNET2020014,cold neutron beam,,,,,owl:Class,thermal neutron beam,,,,,,,,,,,,,,,,
2020015,http://purl.org/pan-science/PaNET/PaNET2020015,monochromatic neutron beam,,,,,owl:Class,neutron,,,,,,,,,,,,,,,,
2020016,http://purl.org/pan-science/PaNET/PaNET2020016,elastic scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020017,http://purl.org/pan-science/PaNET/PaNET2020017,diffuse scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020018,http://purl.org/pan-science/PaNET/PaNET2020018,diffraction,,,,,owl:Class,PaNET:PaNET2020016,,,,,,,,,,,,,,,,
2020019,http://purl.org/pan-science/PaNET/PaNET2020019,dynamical diffraction,,,,,owl:Class,PaNET:PaNET2020018,,,,,,,,,,,,,,,,
2020020,http://purl.org/pan-science/PaNET/PaNET2020020,coherent diffraction,,,,,owl:Class,PaNET:PaNET2020018,,,,,,,,,,,,,,,,
2020021,http://purl.org/pan-science/PaNET/PaNET2020021,reference beam,,,,,owl:Class,process,,,,,,,,,,,,,,,,
2020022,http://purl.org/pan-science/PaNET/PaNET2020022,incoherent scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020023,http://purl.org/pan-science/PaNET/PaNET2020023,inelastic scattering,,,,,owl:Class,PaNET:PaNET2020022,,,,,,,,,,PaNET:PaNET2020016,,,,,,
2020024,http://purl.org/pan-science/PaNET/PaNET2020024,quasielastic scattering,,,,,owl:Class,PaNET:PaNET2020023,,,,,,,,,,,,,,,,
2020025,http://purl.org/pan-science/PaNET/PaNET2020025,high momentum transfer scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020026,http://purl.org/pan-science/PaNET/PaNET2020026,low momentum transfer scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020027,http://purl.org/pan-science/PaNET/PaNET2020027,ultra low momentum transfer scattering,,,,,owl:Class,PaNET:PaNET2020026,,,,,,,,,,,,,,,,
2020028,http://purl.org/pan-science/PaNET/PaNET2020028,low surface momentum transfer scattering,,,,,owl:Class,scattering,,,,,,,,,,,,,,,,
2020029,http://purl.org/pan-science/PaNET/PaNET2020029,coherent emission,,,,,owl:Class,emission,,,,,,,,,,,,,,,,
2020030,http://purl.org/pan-science/PaNET/PaNET2020030,photon emission,,,,,owl:Class,emission,,,,,,,,,,,,,,,,
2020031,http://purl.org/pan-science/PaNET/PaNET2020031,visible photon emission,,,,,owl:Class,photon emission,,,,,,,,,,,,,,,,
2020032,http://purl.org/pan-science/PaNET/PaNET2020032,x-ray emission,,,,,owl:Class,photon emission,,,,,,,,,,,,,,,,
2020033,http://purl.org/pan-science/PaNET/PaNET2020033,gamma-ray emission,,,,,owl:Class,photon emission,,,,,,,,,,,,,,,,
2020034,http://purl.org/pan-science/PaNET/PaNET2020034,electron emission,,,,,owl:Class,emission,,,,,,,,,,,,,,,,
2020035,http://purl.org/pan-science/PaNET/PaNET2020035,ion emission,,,,,owl:Class,emission,,,,,,,,,,,,,,,,
2020036,http://purl.org/pan-science/PaNET/PaNET2020036,nuclear resonance,,,,,owl:Class,PaNET:PaNET2012006,,,,,,,,,,,,,,,,
2020037,http://purl.org/pan-science/PaNET/PaNET2020037,muon spin resonance,,,,,owl:Class,PaNET:PaNET2012006,,,,,,,,,,,,,,,,
2020038,http://purl.org/pan-science/PaNET/PaNET2020038,spin echo,,,,,owl:Class,PaNET:PaNET2012006,,,,,,,,,,,,,,,,
2020039,http://purl.org/pan-science/PaNET/PaNET2020039,electronic excitation,,,,,owl:Class,PaNET:PaNET2012006,,,,,,,,,,,,,,,,
2020040,http://purl.org/pan-science/PaNET/PaNET2020040,atomic core excitation,,,,,owl:Class,PaNET:PaNET2020039,,,,,,,,,,,,,,,,
2020041,http://purl.org/pan-science/PaNET/PaNET2020041,photo excitation,,,,,owl:Class,PaNET:PaNET2020039,,,,,,,,,,,,,,,,
2020042,http://purl.org/pan-science/PaNET/PaNET2020042,incident energy,,,,,owl:Class,energy,,,,,,,,,,,,,,,,
2020043,http://purl.org/pan-science/PaNET/PaNET2020043,emitted energy,,,,,owl:Class,energy,,,,,,,,,,,,,,,,
2020044,http://purl.org/pan-science/PaNET/PaNET2020044,emission momentum,,,,,owl:Class,emitted energy,,,,,,,,,,,,,,,,
2020045,http://purl.org/pan-science/PaNET/PaNET2020045,energy loss,,,,,owl:Class,energy,,,,,,,,,,,,,,,,
2020046,http://purl.org/pan-science/PaNET/PaNET2020046,emitted polarization,,,,,owl:Class,polarization,,,,,,,,,,,,,,,,
2020047,http://purl.org/pan-science/PaNET/PaNET2020047,sample temperature,,,,,owl:Class,sample state,,,,,,,,,,,,,,,,
2020048,http://purl.org/pan-science/PaNET/PaNET2020048,sample pressure,,,,,owl:Class,sample state,,,,,,,,,,,,,,,,
2020049,http://purl.org/pan-science/PaNET/PaNET2020049,sample magnetic field,,,,,owl:Class,sample state,,,,,,,,,,,,,,,,
2020050,http://purl.org/pan-science/PaNET/PaNET2020050,sample electric field,,,,,owl:Class,sample state,,,,,,,,,,,,,,,,
2020051,http://purl.org/pan-science/PaNET/PaNET2020051,obtain high resolution spatial map,,,creating a map with micrometre resolution; may or may not originate from a microfocused beam,,owl:Class,PaNET:PaNET2014001,,,,,,,,,,,,,,,,
2020052,http://purl.org/pan-science/PaNET/PaNET2020052,obtain 3D spatial map,,,,,owl:Class,PaNET:PaNET2014001,,,,,,,,,,,,,,,,
2020053,http://purl.org/pan-science/PaNET/PaNET2020053,obtain electronic density of states,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020054,http://purl.org/pan-science/PaNET/PaNET2020054,obtain electronic density of occupied states,,,,,owl:Class,PaNET:PaNET2020053,,,,,,,,,,,,,,,,
2020055,http://purl.org/pan-science/PaNET/PaNET2020055,obtain electronic density of unoccupied states,,,,,owl:Class,PaNET:PaNET2020053,,,,,,,,,,,,,,,,
2020056,http://purl.org/pan-science/PaNET/PaNET2020056,obtain electronic band structure,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020057,http://purl.org/pan-science/PaNET/PaNET2020057,obtain atomic tensor properties,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020058,http://purl.org/pan-science/PaNET/PaNET2020058,obtain magnetic vector,,,,,owl:Class,PaNET:PaNET2020057,,,,,,,,,,,,,,,,
2020059,http://purl.org/pan-science/PaNET/PaNET2020059,obtain charge quadrupole,,,,,owl:Class,PaNET:PaNET2020057,,,,,,,,,,,,,,,,
2020060,http://purl.org/pan-science/PaNET/PaNET2020060,obtain atomic magnetic structure,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020061,http://purl.org/pan-science/PaNET/PaNET2020061,obtain charge density,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020062,http://purl.org/pan-science/PaNET/PaNET2020062,obtain magnetic density,,,,,owl:Class,PaNET:PaNET2014002,,,,,,,,,,,,,,,,
2020063,http://purl.org/pan-science/PaNET/PaNET2020063,crystallographic study,,,,,owl:Class,PaNET:PaNET2014000,,,,,,,,,,,,,,,,
2020064,http://purl.org/pan-science/PaNET/PaNET2020064,obtain local coordination,,,,,owl:Class,PaNET:PaNET2014000,,,,,,,,,,,,,,,,
2020065,http://purl.org/pan-science/PaNET/PaNET2020065,characterize electronic excitations,,,,,owl:Class,characterize excitations,,,,,,,,,,,,,,,,
2020066,http://purl.org/pan-science/PaNET/PaNET2020066,characterize magnetic excitations,,,,,owl:Class,PaNET:PaNET2020065,,,,,,,,,,,,,,,,
2020067,http://purl.org/pan-science/PaNET/PaNET2020067,characterize lattice excitations,,,,,owl:Class,characterize excitations,,,,,,,,,,,,,,,,
2020068,http://purl.org/pan-science/PaNET/PaNET2020068,fluorescence luminescence,,,,,owl:Class,visible photon emission,,,,,,,,,,,,,,,,
2020069,http://purl.org/pan-science/PaNET/PaNET2020069,grazing incidence diffraction,,,,,owl:Class,PaNET:PaNET2020028,,,,,,,,,,,,,,,,
2020070,http://purl.org/pan-science/PaNET/PaNET2020070,imaging,,,,,owl:Class,,,,,,,,,,PaNET:PaNET2014001,,,,,,,
2020071,http://purl.org/pan-science/PaNET/PaNET2020071,luminescence,,,,,owl:Class,visible photon emission,,,,,,,,,,,,,,,,
2020072,http://purl.org/pan-science/PaNET/PaNET2020072,small angle scattering,,,,,owl:Class,PaNET:PaNET2020026,,,,,,,,,,,,,,,,
2020073,http://purl.org/pan-science/PaNET/PaNET2020073,wide angle scattering,,,,,owl:Class,PaNET:PaNET2020025,,,,,,,,,,,,,,,,
2020074,http://purl.org/pan-science/PaNET/PaNET2020074,x-ray fluorescence,,,,,owl:Class,x-ray emission,,,,,,,,,,,,,,,,
2020075,http://purl.org/pan-science/PaNET/PaNET2020075,instrumentation testing,,,,,owl:Class,PaNET:PaNET2014009,,,,,,,,,,,,,,,,
2020076,http://purl.org/pan-science/PaNET/PaNET2020076,optics characterization,,,,,owl:Class,PaNET:PaNET2020075,,,,,,,,,,,,,,,,
2020077,http://purl.org/pan-science/PaNET/PaNET2020077,lithography,,,,,owl:Class,manufacturing,,,,,,,,,,,,,,,,
2020078,http://purl.org/pan-science/PaNET/PaNET2020078,nonresonant diffraction,,,,,owl:Class,PaNET:PaNET2020018,,,,,,,,,,,,,,,,
2020079,http://purl.org/pan-science/PaNET/PaNET2020079,nanoimprint lithography,,,,,owl:Class,PaNET:PaNET2020077,,,,,,,,,,,,,,,,
2020080,http://purl.org/pan-science/PaNET/PaNET2020080,grayscale lithography,,,,,owl:Class,PaNET:PaNET2020077,,,,,,,,,,,,,,,,
2020081,http://purl.org/pan-science/PaNET/PaNET2020081,polymer micro- and nanografting,,,"create micro- or nanostructures by radiation-induced bond breaking in a polymer substrates, which initiates grafting via thermal decomposition of formed (hydro)peroxides in a controlled, degassed monomer environment (radiation grafting)",doi:10.1016/B978-0-323-35322-9.00002-4,owl:Class,manufacturing,,,,,,,,,,,,,,,,
2020082,http://purl.org/pan-science/PaNET/PaNET2020082,radiotherapy,,,,,owl:Class,PaNET:PaNET2014004,,,,,,,,,,,,,,,,
2020083,http://purl.org/pan-science/PaNET/PaNET2020083,surface crystallography,,,,,owl:Class,PaNET:PaNET2014000,,,,,,,,,,,,,,,,
2020084,http://purl.org/pan-science/PaNET/PaNET2020084,divergent beam diffraction,,,,,owl:Class,PaNET:PaNET2020018,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1000000,http://purl.org/pan-science/PaNET/PaNET1000000,photon and neutron technique relationships,,,,,owl:ObjectProperty,,,,,,,,,,,,,,,owl:Thing,photon and neutron specifiers,asymmetric|irreflexive
1001000,http://purl.org/pan-science/PaNET/PaNET1001000,definedbyprobe,,,,,owl:ObjectProperty,,,,,,,,,,,,,,photon and neutron technique relationships,owl:Thing,probe,asymmetric|irreflexive
1002000,http://purl.org/pan-science/PaNET/PaNET1002000,definedbyprocess,,,,,owl:ObjectProperty,,,,,,,,,,,,,,photon and neutron technique relationships,photon and neutron technique,process,asymmetric|irreflexive
1003000,http://purl.org/pan-science/PaNET/PaNET1003000,definedbydependence,,,,,owl:ObjectProperty,,,,,,,,,,,,,,photon and neutron technique relationships,photon and neutron technique,functional dependence,asymmetric|irreflexive
1004000,http://purl.org/pan-science/PaNET/PaNET1004000,supports,,,,,owl:ObjectProperty,,,,,,,,,,,,,,photon and neutron technique relationships,photon and neutron technique,purpose,asymmetric|irreflexive
1005000,http://purl.org/pan-science/PaNET/PaNET1005000,definedbycharacteristic,,,,,owl:ObjectProperty,,,,,,,,,,,,,,photon and neutron technique relationships,photon and neutron technique,beam characteristic,asymmetric|irreflexive
